medium_description_en,url,full_title_en,expert_name,short_title_en,short_description_en,disease_en,system_en,search_abbreviation_en,purpose_en,chief_complaint_en,specialty_en,favorite_id,creators,cmeEnabled,cmeVersion
Diagnoses delirium in older patients.,4-test-delirium-assessment,4 A’s Test for Delirium Screening,[],4AT,Delirium screening.,"['Delirium', 'Dementia']","['Neurologic', 'Psychiatric']","['4at', ""4 A's Test"", '4as test', 'delirium screening', '4a delirium', '4as test', '4a test']",Diagnosis,"['Agitation', 'AMS', 'Anxious']","['Family Practice', 'Geriatrics', 'Primary Care']",3982,Dr. Alasdair MacLullich,False,
Rules out PE based on clinical criteria.,4-level-pulmonary-embolism-clinical-probability-score-4peps,4-Level Pulmonary Embolism Clinical Probability Score (4PEPS),[],4PEPS Score for PE,Rules out PE.,"['Deep Venous Thrombosis', 'Pulmonary Embolism']","['Cardiac', 'Respiratory']","4-Level Pulmonary Embolism Clinical Probability Score (4PEPS), 4PEPS Score for PE, 4PEPS, PE, pulmonary embolism, DVT","['Diagnosis', 'Rule Out']","['Chest Pain', 'Cough', 'Shortness of Breath']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Family Practice', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care', 'Pulmonology']",10370,Dr. Pierre-Marie Roy,False,
Predicts in-hospital mortality in patients admitted with COVID-19.,4c-mortality-score-covid-19,4C Mortality Score for COVID-19,"['Miguel Reyes, MD ', 'Arsalan Shawl, DO']",4C Mortality Score for COVID-19,In-hospital COVID-19 mortality.,"['COVID-19', 'Coronavirus']",Respiratory,"4C Mortality Score for COVID-19, 4C, 4C mortality, 4C covid-19, 4c covid, 4c covid mortality, covid mortality, covid score, covid mortality score, 4c covid-19 mortality, covid-19 mortality, covid-19 mortality score, coronavirus mortality score, coronavirus mortality, 4c coronavirus mortality, 4c coronavirus, coronavirus, covid-19, covid",Prognosis,"['Chest Pain', 'Cough', 'Fever', 'Shortness of Breath']","['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine', 'Pulmonology']",10338,Dr. Ewen M. Harrison,True,
Differentiates patients with HIT from those with other causes of thrombocytopenia.,4ts-score-heparin-induced-thrombocytopenia,4Ts Score for Heparin-Induced Thrombocytopenia,"Calvin Hwang, MD",4Ts for HIT,HIT vs other causes of thrombocytopenia.,"['Bleeding/Hemorrhage', 'Thrombocytopenia']",Hematologic,"['plt', 'HIT']",Diagnosis,Bleeding,"['Critical Care', 'Emergency Medicine', 'Hematology and Oncology', 'Hospitalist Medicine']",1787,Dr. Andreas Greinacher,True,1787.1
"Calculates reference values for distance walked, as a measure of functional status.",6-minute-walk-distance,6 Minute Walk Distance,[],6 Minute Walk Distance,Functional status.,"['CHF', 'Chronic Pain', 'Congestive Heart Failure', 'COPD', 'Heart Failure', 'Idiopathic Pulmonary Fibrosis', 'Multiple Sclerosis', 'Neuropathy']",Any/All,"['6MWD', 'walking', 'six minute', 'functional status']",Formula,"['Dyspnea', 'Pain', 'Shortness of Breath']","['Cardiology', 'Family Practice', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Neurology', 'Primary Care', 'Pulmonology', 'Rheumatology']",3983,Dr. Paul L. Enright,False,
Assesses for degree of shunting and V/Q mismatch.,a-a-o2-gradient,A-a O₂ Gradient,[],A-a O₂ Gradient,Shunting & V/Q Mismatch.,"['CHF', 'COPD', 'Pneumonia', 'Pulmonary Embolism', 'Respiratory Distress', 'COVID-19', 'Coronavirus']","['Cardiac', 'Renal', 'Respiratory']","['intubation', 'abg', 'aa', 'aaa', 'alveolar', 'PO2', 'PaO2', 'FiO2', 'alveolar gas', 'covid', 'covid-19', 'coronavirus']",Formula,"['Cough', 'Shortness of Breath']","['Critical Care', 'Emergency Medicine', 'Endocrinology', 'Hospitalist Medicine', 'Internal Medicine', 'OB-Gyn', 'Pulmonology', 'Surgery (General)']",243,Dr. H. Fred Helmholz,False,
Diagnoses hypertension in pediatric patients; official guideline of the American Academy of Pediatrics.,aap-pediatric-hypertension-guidelines,AAP Pediatric Hypertension Guidelines,"Sneha Daya, MD",AAP Pediatric HTN Guidelines,Pediatric HTN diagnosis.,Hypertension,"['Cardiac', 'Renal', 'Vascular']","['Paediatric hypertension', 'paediatric htn', 'pediatric htn', 'htn', 'hypertension', 'blood pressure', 'guidelines', 'pediatric hypertension', 'aap pediatric hypertension guidelines', 'aap pediatric htn guidelines']",Diagnosis,Any/All,"['Cardiology', 'Family Practice', 'Nephrology', 'Pediatric Subspecialty', 'Pediatrics']",4052,"['Dr. Bernard Rosner', 'Dr. Joseph T. Flynn']",True,4052.1
Assesses pain in patients with advanced dementia.,abbey-pain-scale-dementia-patients,Abbey Pain Scale for Dementia Patients,[],Abbey Pain Scale,Pain assessment in dementia.,Dementia,Neurologic,"['dementia', 'cognitive', 'impairment', 'pain']","['Prognosis', 'Treatment']",AMS,"['Anesthesiology', 'Critical Care', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Neurology', 'Palliative Care/Hospice']",3627,Ms. Jennifer Abbey,False,
Classifies inhalation injury severity based on bronchoscopic findings.,abbreviated-injury-score-ais-inhalation-injury,Abbreviated Injury Score (AIS) for Inhalation Injury,"Pujan H. Patel, MD",AIS (Inhalation Injury),Inhalation injury severity.,Trauma,Respiratory,"['AIS', 'bronchoscopy', 'abbreviated injury score', 'inhalation injury', 'bronchoscopic scoring', 'acute pulmonary inflammatory response', 'smoke inhalation', 'INHI', 'burns', 'P:F ratio', 'lung injury', ' fluid resuscitation', 'lung compliance']","['Diagnosis', 'Prognosis']",Pain,"['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Pulmonology', 'Surgery (Trauma)']",4056,"['Dr. Frederick W. Endorf', 'Dr. Richard L. Gamelli']",True,4056.1
Assesses mental impairment in elderly patients.,abbreviated-mental-test-amt-10,Abbreviated Mental Test (AMT-10),[],AMT-10,Mental status.,"['Dementia', 'Delirium']",Psychiatric,"['AMTS', 'Amt 10', 'amt', 'amt-10', 'abbreviated mental test score', 'abbreviated mental test']",Diagnosis,"['AMS', 'Neurologic Deficit']","['Geriatrics', 'Psychiatry', 'Internal Medicine', 'Hospitalist Medicine', 'Primary Care', 'Family Practice']",10208,Dr. H. Malcolm Hodkinson,False,
Assesses mental impairment in elderly patients.,abbreviated-mental-test-4-amt-4,Abbreviated Mental Test 4 (AMT-4),[],AMT-4,"Mental status, similar performance as AMT-10 but shorter.","['Delirium', 'Dementia']",Psychiatric,"['mental test', 'mental elderly', 'abbreviated mental test', 'abreviated', 'abbreviated', 'amt', 'amt4', 'elderly mental status', 'mental status']",Diagnosis,"['AMS', 'Neurologic Deficit']","['Family Practice', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care', 'Psychiatry']",3995,Dr. David G. Swain,False,
Predicts need for massive transfusion in trauma patients.,abc-score-massive-transfusion,ABC Score for Massive Transfusion,"Cullen Clark, MD",ABC Score,Need for massive transfusion; calculated before labs.,"['Bleeding/Hemorrhage', 'Trauma']",Hematologic,"['trauma', 'transfusion']","['Prognosis', 'Treatment']","['Bleeding', 'Injury/Trauma']","['Critical Care', 'Emergency Medicine', 'Hematology and Oncology', 'Hospitalist Medicine', 'Surgery (General)', 'Surgery (Trauma)']",1228,Dr. Bryan Cotton,True,1228.1
Predicts volume of intracranial hemorrhage from CT measurements.,abc2-formula-intracerebral-hemorrhage-volume,ABC/2 Formula for Intracerebral Hemorrhage Volume,[],ABC/2 Formula,ICH volume from CT measurements.,Intracranial Hemorrhage,Neurologic,"['ich', 'bleed', 'stroke', 'CT']",Formula,"['AMS', 'Headache', 'Injury/Trauma']","['Critical Care', 'Critical Care (Neurologic)', 'Emergency Medicine', 'Neurology', 'Radiology']",2031,Dr. Rashmikant Kothari,False,
Estimates the risk of stroke after a suspected transient ischemic attack (TIA).,abcd2-score-tia,ABCD² Score for TIA,"Daniel Runde, MD",ABCD² Score,Stroke risk after TIA: inpt vs outpt.,Stroke/TIA,Neurologic,"['stroke', 'neuro', 'cva', 'tia', 'abcd2', 'stroke risk']",Prognosis,Weakness,"['Critical Care', 'Emergency Medicine', 'Family Practice', 'Hospitalist Medicine', 'Internal Medicine', 'Neurology', 'Primary Care']",357,Dr. S. Claiborne Johnston,True,
"<span id=""docs-internal-guid-e1968915-7fff-03d6-f4bf-834aed92e040"">Predicts survival in alcoholic hepatitis.",abic-score-alcoholic-hepatitis,ABIC Score for Alcoholic Hepatitis,[],ABIC Score for Alcoholic Hepatitis,Alcohol hepatitis survival.,"['Alcoholism', 'Drug/Alcohol Use', 'Hepatitis']",Hepatic,"['Alcohol hepatitis', 'Alcoholic hepatitis score']",Prognosis,"['Intoxication/Overdose', 'Abdominal Pain']","['Hepatology', 'Toxicology', 'Gastroenterology']",10136,Dr. Marlene Dominguez,False,
Assesses number of lymphocytes and predicts CD4 count.,absolute-lymphocyte-count-alc,Absolute Lymphocyte Count (ALC),"Alex Lazo, MD",Absolute Lymphocyte Count,"ALC count, and predicted CD4 Count.","['HIV/AIDS', 'COVID-19', 'Coronavirus']","['Immunologic', 'Infectious']","['alc', 'lymph', 'cd4', 'cd8', 'natural killer cells', 'immune', 'coronavirus', 'covid', 'covid19', 'covid-19', 'covid 19']","['Formula', 'Diagnosis']",Fever,"['Critical Care', 'Emergency Medicine', 'Family Practice', 'Hematology and Oncology', 'Infectious Disease', 'Internal Medicine', 'Palliative Care/Hospice']",2203,Dr. Nathan Shapiro,True,
