Original feature,Chandan rename
,
# of controls with expected outcome (C),
# of controls without expected outcome (D),
# of experimental patients with expected outcome (A),
# of experimental patients without expected outcome (B),
% alcohol,
% bands,
% basophils,
% myeloblasts in peripheral blood,
% neutrophils,
% of reticulocytes,
&ge;2 seizure types,≥2 seizure types
&ge;2 sites of metastasis,≥2 sites of metastasis
&gt;12 years old and &gt;40 kg,>12 years old and >40 kg
&gt;3 hrs from symptom onset (or last time seen WITHOUT stroke symptoms) to admission,>3 hrs from symptom onset (or last time seen WITHOUT stroke symptoms) to admission
0.45% saline,Saline
0.9% saline,Saline
"1. Anxious mood: Worries, anticipation of the worst, fearful anticipation, irritability.",
1. Felt low in spirits or sad?,
1. I have been less alert.,
1. Sleep onset insomnia:,
"10 . Respiratory symptoms: Pressure or constriction in chest, choking feelings, sighing, dyspnea.",
10. Concentration/decision making:,
10. Dysarthria,Dysarthria
10. I have had trouble maintaining physical effort for long periods.,
100 mEq NaHCO₃ in 1L D5W,
10: Dysarthria,Dysarthria
10a. Suffered from reduced appetite?,Appetite
10b. Suffered from increased appetite?,Appetite
11. Extinction and inattention,
"11. Gastrointestinal symptoms: Difficulty in swallowing, wind abdominal pain, burning sensations, abdominal fullness, nausea, vomiting, borborygmi, looseness of bowels, loss of weight, constipation.",Abdominal pain
11. I have had difficulty making decisions.,
11. Outlook (self):,
11: Extinction/inattention,
11: Test extinction/inattention/neglect,
"12. Genitourinary symptoms: Frequency of micturition, urgency of micturition, amenorrhea, menorrhagia, development of frigidity, premature ejaculation,loss of libido, impotence.",
12. I have been less motivated to do anything that requires thinking.,
12. Suicidal ideation:,
"13. Autonomic symptoms: Dry mouth, flushing, pallor, tendency to sweat, giddiness, tension headache, raising of hair.",Headache
13. Involvement:,
13. My muscles have felt weak.,
"14. Behavior at interview: Fidgeting, restlessness or pacing, tremor of hands, furrowed brow, strained face, sighing or rapid respiration, facial pallor, swallowing, etc.",
14. Energy/fatigability:,
14. I have been physically uncomfortable.,
15. I have had trouble finishing tasks that require thinking.,
15. Psychomotor slowing:,
16. I have had difficulty organizing things.,
16. Psychomotor agitation:,
17. I have been less able to complete tasks that require physical effort.,
18. My thinking has been slowed down.,
19. I have had trouble concentrating.,
1A. Level of consciousness,Level of consciousness
1A: Level of consciousness,Level of consciousness
1B. Ask age and to point out family member,Age
1B: Ask month and age,
1B: Level of consciousness/orientation questions,Level of consciousness
1C. Command to blink eyes and touch nose,
1C: 'Blink eyes' & 'squeeze hands',
1C: Level of consciousness commands,Level of consciousness
1st degree relative with diabetes,
1st metatarsophalangeal joint involvement,
2. Horizontal extraocular movements,
2. I have had difficulty paying attention.,
2. Lost interest in daily activities?,
2. Mid-nocturnal insomnia:,
"2. Tension: Feelings of tension, fatigability, startle response, moved to tears easily, trembling, feelings of restlessness, inability to relax.",
20. I have limited my physical activities.,
21. I have needed to rest more often or for longer periods of time.,
24-Week change in predicted FVC,
2: Horizontal extraocular movements,
2: Test horizontal extra-ocular movements,
3. Early morning insomnia:,
"3. Fears: Of dark, of strangers, of being left alone, of animals, of traffic, of crowds.",
3. Felt lacking in energy and strength?,
3. I have been unable to think clearly.,
3. Visual fields,
3: Test visual fields,
3: Visual fields,
4. Facial palsy,Facial palsy
4. Felt less self-confident?,
4. Hypersomnia:,
4. I have been clumsy and uncoordinated.,
"4. Insomnia: Difficulty in falling asleep, broken sleep, unsatisfying sleep and fatigue on waking, dreams, nightmares, night terrors.",
4: Facial palsy,Facial palsy
"5%, 20%, 25% albumin",
5. Had a bad conscience or feelings of guilt?,
5. I have been forgetful.,
"5. Intellectual: Difficulty in concentration, poor memory.",
5. Mood (sad):,
5A. Left arm motor drift,
5A: Left arm motor drift,
5A: Test left arm motor drift,
5B. Right arm motor drift,
5B: Right arm motor drift,
5B: Test right arm motor drift,
6 Minute Walk Distance,
6-minute walk test,
6. Appetite (decreased):,Appetite
"6. Depressed mood: Loss of interest, lack of pleasure in hobbies, depression, early waking, diurnal swing.",
6. Felt that life wasn’t worth living?,
6. I have had to pace myself in my physical activities.,
6A. Left leg motor drift,
6A: Left leg motor drift,
6A: Test left leg motor drift,
6B. Right leg motor drift,
6B: Right leg motor drift,
6B: Test right leg motor drift,
7. Appetite (increased):,Appetite
"7. Had difficulty in concentrating, e.g. when reading the newspaper or watching television?",
7. I have been less motivated to do anything that requires physical effort.,
7. Limb ataxia,
"7. Somatic (muscular): Pains and aches, twitching, stiffness, myoclonic jerks, grinding of teeth, unsteady voice, increased muscular tone.",
7: Limb Ataxia,
7th (or other) cranial nerve palsy,
8. I have been less motivated to participate in social activities.,
"8. Somatic (sensory): Tinnitus, blurring of vision, hot and cold flushes, feelings of weakness, pricking sensation.",
8. Weight (decrease) within the last two weeks:,
8: Sensation,
8: Test sensation,
8a. Felt very restless?,
8b. Felt subdued or slowed down?,
9. Best language,
"9. Cardiovascular symptoms: Tachycardia, palpitations, pain in chest, throbbing of vessels, fainting feelings, missing beat.",
9. Had trouble sleeping at night?,
9. I have been limited in my ability to do things away from home.,
9. Weight (increase) within the last two weeks:,
9: Language/aphasia,
9: Test language/aphasia,
<1 year from time of diagnosis to systemic therapy,
<10 bone metastases on bone scan,
<3 spontaneous bowel movements per week,
>1 extranodal site,
>1 focal lesion on MRI,
>1 tumor,
>24 hrs on supplemental oxygen required to maintain SaO₂ >90%,
>4 nodal sites,
>50 units regular insulin required over 12 hr,Insulin
"A new T2 and/or gadolinium-enhancing lesion(s) on follow-up MRI, with reference to a baseline scan, irrespective of the timing of baseline scan.",
A positive rapid group A streptococcal (GAS) carbohydrate antigen test in a child whose clinical presentation suggests a high pretest probability of streptococcal pharyngitis,
A positive throat culture for group A β-hemolytic streptococci,
"A sense of lack of control over eating during the episode (e.g., a feeling that one cannot stop eating or control what or how much one is eating)",
"A single, gradually progressive severe cognitive deficit is identified in the absence of other identifiable cause",
A-a gradient,
A. Clonal bone marrow plasma cells ≥10%,
A0: Atherosclerosis not detected and ruled out,
A1: Potentially causal (atherothrombotic stroke),
A2: Causal link uncertain,
A3: Causal link unlikely but disease is present,
A9: Incomplete workup,
ACEi/ARB,
AIDS,
AJCC pathologic T-stage,
ALP:AST or ALP:ALT ratio,ALT
ALT,
"ALT, U/L",ALT
AMA,
AMT 4,
ANA above laboratory reference range,
ANA or SMA,
ANA or anti-dsDNA antibodies,
"ANA, SMA, or LKM-1 antibody",
"ANC &gt;4,000/&mu;L","ANC >4,000/&mu;L"
"ANC, ×10³/µL (10⁹/L)",
APACHE II,
ASA Class,ASA
ASA class,ASA
ASA use in past 7 days,ASA
ASPECTS Score,
ASPECTS on initial head CT,
AST,
AST &gt;250,AST
AST upper limit of normal,AST
"AST, U/L",AST
AVPU Score,
Abdomen,
Abdomen worst injury?,
Abdominal bloating and/or distension predominates over other symptoms,
Abdominal distention due to intraluminal air which increases during the day,
Abdominal guarding,
Abdominal mass,
Abdominal pain,
Abdominal pain ≥4 days per month associated with one or more of the following:,Abdominal pain
Abdominal tenderness,
Ability to prognath (advance lower jaw forward),
Able to actively rotate neck 45° left and right,
Abnormal EKG,ECG
Abnormal EKG and/or heart disease,ECG
Abnormal QRS axis,
Abnormal WBC count,White blood cell count
Abnormal behavior,
Abnormal blood glucose (<50 mg/dL),
Abnormal cardiac enzymes,
Abnormal chest X-ray,Chest x-ray
Abnormal drowsiness,
Abnormal initial EKG,ECG
Abnormal leukocyte count or >10% bands,White blood cell count
Abnormal level of alertness,
Abnormal medical history,
Abnormal mental status,
Abnormal physical findings or history pathognomonic of other disease,
Abnormal sphincter manometry,
Abnormal troponin at 0 or 2 hours,
Abscess,
Absence of an RS complex in all precordial leads,
"Absence of associated esophageal symptoms, such as heartburn and dysphagia",
Absence of atherosclerosis (extra- or intracranial) causing ≥50% luminal stenosis in arteries supplying the ischemic area,
Absence of bile duct stones or other structural abnormalities,
Absence of both hypertension AND impaired coagulation,Hypertension
Absence of cough or coryza,
"Absence of evidence that esophageal mucosal, or structural abnormality is the cause of the symptom",
Absence of evidence that gastroesophageal reflux (abnormal acid exposure and symptom reflux association) or EOE is the cause of symptoms,
Absence of evidence that gastroesophageal reflux or EoE is the cause of the symptom,
Absence of evidence that gastroesophageal reflux or eosinophilic esophagitis are the cause of the symptom,
Absence of gallstones or other structural pathology,
"Absence of major esophageal motor disorders (achalasia/EGJ outflow obstruction, diffuse esophageal spasm, jackhammer esophagus, absent peristalsis)",
Absence of self-induced vomiting or criteria for an eating disorder or rumination,Nausea/vomiting
Absence of systemic disorders or other brain diseases that in and of themselves could account for the progressive deficits in memory and cognition,
"Absence of vomiting between episodes, but other milder symptoms can be present between cycles",Nausea/vomiting
Absent cremasteric reflex,
"Absent, decreased, or irregular breathing",
Absolute increase in serum creatinine ≥0.3 mg/dL (≥26.4 μmol/L),
Absolute lymphocyte count,
Absolute or % lymphocyte count,
Absolute or % neutrophil count,
Acidemia,
Acidosis (pH <7.35),Acidosis
Acidosis (pH),Acidosis
Actions are purposeful,
Active COPD,
Active bleeding or high risk for bleeding,
Active cancer,
Active endocarditis,
Active gastroduodenal ulcer,
Active internal bleeding,
Active malignancy,
Active malignant condition,
Active social avoidance,
Active wound care at time of admission,
Activities,
Activities &amp; peers,
Activity,
Activity (movement),
Activity level,
Activity/muscle tone,
Actual body weight,
Actual hemoglobin,
Actual peak flow rate,
Acute (emergent) admission,
Acute MI,
Acute MI and/or ischemic stroke,
Acute abdomen,
Acute associated nonpulmonary infection,
Acute change in extremities,
Acute change or fluctuating course,
Acute cutaneous lupus,
Acute infection and/or rheumatologic disorder,
Acute infection at ICU admission,
Acute infectious disease,
Acute ischemic changes on EKG,ECG
Acute pulmonary edema,
Acute renal failure,
Acute renal insufficiency,
Acute respiratory distress syndrome,
Acute rheumatic disease,
Acute spinal cord injury causing paralysis,
Acute stroke,
Acute systemic reaction after IV heparin bolus,
Acute-phase reactants (need at least one acute-phase reactant test result to use these criteria),
Add another drug,
Add another measurement,
Additional features,
Admission QTc &ge;450 msec,Admission QTc ≥450 msec
Admission glucose &gt;131 mg/dL (7.3 mmol/L) or &lt;66 mg/dL (3.7 mmol/L),Admission glucose >131 mg/dL (7.3 mmol/L) or <66 mg/dL (3.7 mmol/L)
Admission pH,
Admit from skilled nursing facility,
Admitted from nursing home,
Adult or pediatric patient,
Adverse event:,
"After appropriate evaluation, the abdominal pain cannot be fully explained by another medical condition",Abdominal pain
"After appropriate evaluation, the nausea cannot be fully explained by another medical condition",
"After appropriate evaluation, the symptoms cannot be fully explained by another medical condition",
"After appropriate evaluation, the symptoms cannot be fully explained by another medical condition (an eating disorder must be ruled out)",
"After appropriate evaluation, the vomiting cannot be fully explained by another medical condition",Nausea/vomiting
"After appropriate medical evaluation, the fecal incontinence cannot be explained by another medical condition",
"After appropriate medical evaluation, the symptoms cannot be attributed to another condition",
Age,
Age &ge;40,Age
Age &ge;60 years,Age
Age &ge;65,Age
Age &ge;65 years,Age
Age &ge;68 years,Age
Age &ge;80 years,Age
Age &gt;55 years,Age
Age &gt;60 years,Age
Age &gt;65,Age
Age (for expected A-a gradient),Age
Age (in years),Age
Age (years),Age
Age 16-45,Age
Age 19-29 or &gt;79 years,Age
Age 50 and above?,Age
Age < 12,Age
Age <16 years,Age
Age <25 years,Age
Age > 50,Age
Age > 50 years,Age
Age > 60,Age
Age > 60 years,Age
Age > 75 years,Age
Age >2 months,Age
Age >55 years,Age
Age >60 years,Age
Age >65,Age
Age >65 years,Age
Age >70 years,Age
Age >74 years,Age
Age >75,Age
Age >75 years,Age
Age >80 years,Age
Age Range,Age
Age at diagnosis,Age
