full_title_en,short_description_en,ref_text,race_var
ASCVD (Atherosclerotic Cardiovascular Disease) 2013 Risk Calculator from AHA/ACC,10-year heart disease or stroke risk.,"Goff DC Jr, et. al. 2013 ACC/AHA Guideline on the Assessment of Cardiovascular Risk A Report of the American College of Cardiology/American Heart Association Task Force on Practice Guidelines. Circulation. 2014 Jun 24;129(25 Suppl 2):S49-73. doi: 10.1161/01.cir.0000437741.48606.98. Epub 2013 Nov 12.",Race
ASCVD (Atherosclerotic Cardiovascular Disease) Risk Algorithm including Known ASCVD from AHA/ACC,10-year heart disease or stroke risk and statin recommendations.,"Goff DC Jr, et. al. 2013 ACC/AHA Guideline on the Assessment of Cardiovascular Risk A Report of the American College of Cardiology/American Heart Association Task Force on Practice Guidelines. Circulation. 2014 Jun 24;129(25 Suppl 2):S49-73. doi: 10.1161/01.cir.0000437741.48606.98. Epub 2013 Nov 12.",Race
Australian Type 2 Diabetes Risk (AUSDRISK) Assessment Tool,Estimates diabetes risk.,"Chen L, Magliano DJ, Balkau B, Colagiuri S, Zimmet PZ, Tonkin AM, Mitchell P, Phillips PJ, Shaw JE. AUSDRISK: an Australian Type 2 Diabetes Risk Assessment Tool based on demographic, lifestyle and simple anthropometric measures. Med J Aust. 2010 Feb 15;192(4):197-202.",Ethnicity
CKD-EPI Equations for Glomerular Filtration Rate (GFR),Estimates GFR.,"Levey AS, Stevens LA, Schmid CH, et al. A new equation to estimate glomerular filtration rate. Ann Intern Med. 2009;150(9):604-12.",Race
COVID-19 Inpatient Risk Calculator (CIRC),Inpatient COVID mortality or severe disease progression.,"Garibaldi BT, Fiksel J, Muschelli J, et al. Patient trajectories among persons hospitalized for covid-19 : a cohort study. Ann Intern Med. Published online September 22, 2020.",White
Denver HIV Risk Score,HIV risk screening.,"Haukoos JS, Lyons MS, Lindsell CJ, et al. Derivation and validation of the Denver Human Immunodeficiency Virus (HIV) risk score for targeted HIV screening. Am J Epidemiol. 2012;175(8):838-46.",Race/ethnicity
Estimated/Expected Peak Expiratory Flow (Peak Flow),Quantifies asthma severity.,"Knudson RJ, Lebowitz MD, Holberg CJ, Burrows B. Changes in the normal maximal expiratory flow-volume curve with growth and aging. Am Rev Respir Dis. 1983. Jun;127(6):725-34.",Race/ethnicity
GWTG-Heart Failure Risk Score,Predicts in-hospital heart failure mortality.,"Peterson PN, et al. Circ Cardiovasc Qual Outcomes. A validated risk score for in-hospital mortality in patients with heart failure from the American Heart Association get with the guidelines program. 2010 Jan;3(1):25-32. doi: 10.1161/CIRCOUTCOMES.109.854877. Epub 2009 Dec 8.",Black race
Gail Model for Breast Cancer Risk,Breast CA risk based on demographic and clinical data.,"Gail MH, Brinton LA, Byar DP, Corle DK, Green SB, Shairer C, Mulvihill JJ: Projecting individualized probabilities of developing breast cancer for white females who are being examined annually. J Natl Cancer Inst 81(24):1879-86, 1989","Asian-American sub race, Race/ethnicity"
Kinetic Estimated Glomerular Filtration Rate (keGFR),Liver Transplant after acetaminophen OD.,"O'Grady J, Alexander G, Hayllar K, Williams R (1989). Early indicators of prognosis in fulminant hepatic failure. Gastroenterology 97 (2): 439–45",Black race
Licurse Score for Renal Ultrasound,Pleural Effusion: Exudative vs Transudative.,"Light RW, et. al. Pleural Effusions: The Diagnostic Separation of Transudates and Exudates. Ann Intern Med. 1972;77:507-513. doi:10.7326/0003-4819-77-4-507",Race
MDRD GFR Equation,Liver transplant planning + Na.,"Kamath PS, Wiesner RH, Malinchoc M, Kremers W, Therneau TM, Kosberg CL, D'Amico G, Dickson ER, Kim WR. A model to predict survival in patients with end-stage liver disease. Hepatology. 2001 Feb;33(2):464-70.",Black race
STONE Score for Uncomplicated Ureteral Stone,Salivary gland cancer PORT survival.,"Jacobs C.D., Barak I., et al. Prediction model to estimate overall survival benefit of postoperative radiotherapy for resected major salivary gland cancers. Oral Oncology. 2022;132:105955",Race
